3469,1757,5226,1
2761,3901,6662,1
3838,2364,6202,1
3387,913,4300,1
2505,4345,6850,1
971,4895,5866,1
500,3575,4075,1
275,2186,2461,1
1804,2835,4639,1
2681,3650,6331,1
1613,1979,3592,1
3339,4874,8213,1
1374,799,2173,1
2313,4752,7065,1
2192,89,2281,1
2969,1310,4279,1
659,318,977,1
3809,2909,6718,1
2690,3416,6106,1
2084,2199,4283,1
4519,386,4905,1
455,2375,2830,1
2547,3139,5686,1
3220,2208,5428,1
3342,3993,7335,1
1883,1815,3698,1
1615,1522,3137,1
1751,3624,5375,1
2234,4831,7065,1
2516,3178,5694,1
3204,4130,7334,1
3062,3601,6663,1
297,1331,1628,1
1162,1132,2294,1
373,3614,3987,1
4288,995,5283,1
3727,4069,7796,1
959,3359,4318,1
1444,3708,5152,1
1841,4626,6467,1
2690,3357,6047,1
2762,3927,6689,1
4252,3299,7551,1
3653,4014,7667,1
4711,4559,9270,1
1211,1478,2689,1
3998,1541,5539,1
1702,2586,4288,1
2740,3386,6126,1
959,1271,2230,1
2017,4388,6405,1
2783,1711,4494,1
462,2932,3394,1
4464,266,4730,1
587,4573,5160,1
1702,2787,4489,1
4985,19,5004,1
4120,1276,5396,1
4193,2011,6204,1
379,1764,2143,1
549,3669,4218,1
638,4576,5214,1
628,3791,4419,1
4694,2726,7420,1
4604,4651,9255,1
3796,1470,5266,1
4761,587,5348,1
1241,1274,2515,1
3901,309,4210,1
3216,496,3712,1
2071,1390,3461,1
3443,185,3628,1
4544,3395,7939,1
2748,4462,7210,1
3945,3784,7729,1
2053,1148,3201,1
4540,2092,6632,1
1351,1937,3288,1
1193,4492,5685,1
1771,470,2241,1
4511,4136,8647,1
144,125,269,1
3786,2759,6545,1
2125,1818,3943,1
2464,3073,5537,1
4537,673,5210,1
2018,2570,4588,1
391,1416,1807,1
2306,2173,4479,1
3515,2355,5870,1
4818,1283,6101,1
1640,4968,6608,1
4466,2828,7294,1
4943,2112,7055,1
4545,2681,7226,1
2905,4442,7347,1
4291,3979,8270,1
1092,442,1534,1
1946,3597,5543,1
3321,3420,6741,1
93,974,1067,1
4015,3781,7796,1
1763,4582,6345,1
4031,4,4035,1
772,4188,4960,1
4345,780,5125,1
1882,3384,5266,1
356,3508,3864,1
3436,6,3442,1
400,760,1160,1
3678,4149,7827,1
2194,4340,6534,1
3859,2929,6788,1
3619,3610,7229,1
964,1167,2131,1
1553,504,2057,1
4846,1364,6210,1
3429,2235,5664,1
4508,3558,8066,1
588,4722,5310,1
4250,4898,9148,1
3623,1069,4692,1
2216,3287,5503,1
1296,2826,4122,1
2031,473,2504,1
3843,916,4759,1
2328,4902,7230,1
4293,148,4441,1
3110,3966,7076,1
4616,1762,6378,1
478,4214,4692,1
727,94,821,1
4164,4718,8882,1
3388,1705,5093,1
451,209,660,1
1026,1631,2657,1
3899,3842,7741,1
2970,88,3058,1
4622,1449,6071,1
3002,687,3689,1
1529,1515,3044,1
4231,1792,6023,1
615,1201,1816,1
3583,3429,7012,1
1365,2196,3561,1
957,2977,3934,1
517,4662,5179,1
2322,1042,3364,1
4363,281,4644,1
2924,821,3745,1
1798,4858,6656,1
3125,1389,4514,1
45,90,135,1
4480,4358,8838,1
2676,1575,4251,1
4826,2339,7165,1
1666,3533,5199,1
1342,3859,5201,1
3976,3317,7293,1
1148,3229,4377,1
1306,4910,6216,1
737,1881,2618,1
4264,135,4399,1
3163,547,3710,1
2733,3309,6042,1
4087,3780,7867,1
386,4095,4481,1
788,4996,5784,1
3412,542,3954,1
4955,3655,8610,1
2142,3429,5571,1
1481,2921,4402,1
1311,4464,5775,1
3041,543,3584,1
2056,3481,5537,1
2773,2959,5732,1
3170,1060,4230,1
4318,2123,6441,1
3609,1130,4739,1
230,4620,4850,1
4497,680,5177,1
2351,3838,6189,1
750,585,1335,1
2063,1935,3998,1
4609,2171,6780,1
3127,4296,7423,1
257,503,760,1
3720,3910,7630,1
3680,4445,8125,1
4458,3792,8250,1
3958,1017,4975,1
501,3653,4154,1
4480,2824,7304,1
4995,3979,8974,1
1009,4142,5151,1
1314,790,2104,1
4177,1721,5898,1
2869,4374,7243,1
4329,1681,6010,1
4131,2576,6707,1
1776,1689,3465,1
4987,769,5756,1
4166,1226,5392,1
425,3998,4423,1
4061,307,4368,1
100,421,521,1
4032,4617,8649,1
2994,1006,4000,1
4507,914,5421,1
4733,4571,9304,1
2842,583,3425,1
1769,1253,3022,1
1974,1268,3242,1
4288,215,4503,1
2637,3400,6037,1
742,755,1497,1
1674,3967,5641,1
1654,3447,5101,1
3090,4233,7323,1
783,3563,4346,1
2697,5,2702,1
3789,4972,8761,1
3419,177,3596,1
4033,2915,6948,1
3276,4882,8158,1
785,2806,3591,1
4683,3927,8610,1
2353,4495,6848,1
2743,3087,5830,1
1680,2940,4620,1
4108,2245,6353,1
4846,3047,7893,1
302,4668,4970,1
3605,4927,8532,1
99,3412,3511,1
773,3053,3826,1
4876,1149,6025,1
4743,3822,8565,1
371,1339,1710,1
1369,4099,5468,1
458,2887,3345,1
3004,1059,4063,1
2399,3663,6062,1
2935,1727,4662,1
2739,2734,5473,1
2124,92,2216,1
677,1980,2657,1
132,2507,2639,1
849,1043,1892,1
3449,3346,6795,1
4738,4433,9171,1
3405,2078,5483,1
